strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/Victoria/2588/2023	2023-07-13	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485097	WHO Collaborating Centre for Reference and Research on Influenza	Monash Medical Centre
A/Victoria/2572/2023	2023-07-05	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485098	WHO Collaborating Centre for Reference and Research on Influenza	Monash Medical Centre
A/Tuvalu/33/2023	2023-09-20	h3n2_flu	Oceania	Tuvalu	Human	EPI_ISL_18485102	WHO Collaborating Centre for Reference and Research on Influenza	Utah Public Health Laboratory
A/Tuvalu/32/2023	2023-09-20	h3n2_flu	Oceania	Tuvalu	Human	EPI_ISL_18485103	WHO Collaborating Centre for Reference and Research on Influenza	Utah Public Health Laboratory
A/Tuvalu/31/2023	2023-09-20	h3n2_flu	Oceania	Tuvalu	Human	EPI_ISL_18485104	WHO Collaborating Centre for Reference and Research on Influenza	Utah Public Health Laboratory
A/Tuvalu/37/2023	2023-09-20	h3n2_flu	Oceania	Tuvalu	Human	EPI_ISL_18485105	WHO Collaborating Centre for Reference and Research on Influenza	Utah Public Health Laboratory
A/Tuvalu/38/2023	2023-09-20	h3n2_flu	Oceania	Tuvalu	Human	EPI_ISL_18485106	WHO Collaborating Centre for Reference and Research on Influenza	Utah Public Health Laboratory
A/Tuvalu/4/2023	2023-09-18	h3n2_flu	Oceania	Tuvalu	Human	EPI_ISL_18485107	WHO Collaborating Centre for Reference and Research on Influenza	Utah Public Health Laboratory
A/Tuvalu/5/2023	2023-09-18	h3n2_flu	Oceania	Tuvalu	Human	EPI_ISL_18485108	WHO Collaborating Centre for Reference and Research on Influenza	Utah Public Health Laboratory
A/Tuvalu/15/2023	2023-09-20	h3n2_flu	Oceania	Tuvalu	Human	EPI_ISL_18485109	WHO Collaborating Centre for Reference and Research on Influenza	Utah Public Health Laboratory
A/Tuvalu/29/2023	2023-09-20	h3n2_flu	Oceania	Tuvalu	Human	EPI_ISL_18485110	WHO Collaborating Centre for Reference and Research on Influenza	Utah Public Health Laboratory
A/Tuvalu/11/2023	2023-09-20	h3n2_flu	Oceania	Tuvalu	Human	EPI_ISL_18485111	WHO Collaborating Centre for Reference and Research on Influenza	Utah Public Health Laboratory
A/Tasmania/417/2023	2023-12-28	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852942	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Tasmania/424/2023	2023-12-26	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852943	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Tasmania/434/2023	2023-12-22	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852944	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Tasmania/429/2023	2023-12-12	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852945	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Tasmania/430/2023	2023-12-12	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852946	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Tasmania/432/2023	2023-12-15	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852947	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Tasmania/422/2023	2023-12-27	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852948	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Fiji/287/2023	2023-10-11	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18852950	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Tasmania/444/2023	2023-12-20	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852951	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Victoria/3186/2023	2023-12-07	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852952	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Victoria/3180/2023	2023-12-09	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852953	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Darwin/4/2024	2024-01-07	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852954	WHO Collaborating Centre for Reference and Research on Influenza	Royal Darwin Hospital
A/Tasmania/440/2023	2023-12-17	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852955	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
